/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
17668382	Salonen	17668382	GRASP1.0		15		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	6/26/07	y	Am J Hum Genet	Type 2 diabetes whole-genome association study in four populations: the DiaGen consortium.		n	n	500 EA cases + 497 controls	2573 French cases + 2776 controls	Illumina [315917]	European	6346	997	997												5349	5349																					
17671248	Dunckley	17671248	GRASP1.0		137		"Amyotrophic Lateral Sclerosis (ALS), sporadic"	Neuro;Amyotrophic lateral sclerosis (ALS)	8/23/07	y	N Engl J Med	Whole-genome analysis of sporadic amyotrophic lateral sclerosis.		n	n	"386 EA cases,542 controls"	"438 EA samples, 136 unspecified samples, 192 unspecified samples, 750 EA controls, 135 EA cases + 275 controls"	Affymetrix & Illumina [776955]	European/Unspecified	2854	928	928												1926	1598									328												
17671797	Kamiyama	17671797	GRASP1.0		8		Nephropathy (diabetic nephropathy)	Renal;Type 2 diabetes (T2D)	8/2/07	n	Hum Genet	"Polymorphisms in the 3' UTR in the neurocalcin delta gene affect mRNA stability, "		n	n	"559 cases, 372 controls in Japanese"	"31 Japanese cases + 168 controls, 283 Singapore cases + 195 controls, 47 Danish cases + 108 controls"	Invader [81315]	Mixed	1763	931			931										832	155		677																			
17684495	Meaburn	17684495	GRASP1.0		301		"Cognition, early reading ability"	Neuro;Cognition;Developmental	8/7/07	n	Mol Psychiatry	Quantitative trait locus association scan of early reading disability and ability		n	n	755 (unspecified) low and 747 high reading ability	3408 (unspecified) plus additional 452 low and 452 high reading ability	Affymetrix [107116]	Unspecified	5814	1502										1502			4312										4312												
17684544	Franke	17684544	GRASP1.0		274		Crohn's disease	Inflammation;Gastrointestinal;Crohn's disease	8/8/07	y	PLoS One	Systematic association mapping identifies NELL1 as a novel IBD disease gene.		n	n	"393 German cases,399 controls"	"3744 (presumed) EA samples (from trios), 2920 cases, 1961 controls"	Affymetrix [92387]	European	9417	792	792												8625	8625																					
17690259	Thorleifsson	17690259	GRASP1.0		28		Glaucoma	Eye-related;Glaucoma	8/9/07	y	Science	Common sequence variants in the LOXL1 gene confer susceptibility to exfoliation glaucoma.		n	n	"75 EA cases,14474 controls"	"254 EA cases,198 controls"	Illumina [304250]	European	15001	14549	14549												452	452																					
17701890	Huang	17701890	GRASP1.0		349	1	"Cisplatin cytotoxicity and gene expression, in blood cell lines"	Treatment response;Cancer-related;Blood-related;Gene expression (RNA);Cell line	8/1/07	n	Am J Hum Genet	Identification of genetic variants contributing to cisplatin-induced cytotoxicity		n	n	86 EA (CEU) + 89 AA (YRI) LCL from HapMap	NR	[HapMap] 387417	Mixed	175	175	86	89																																	
17767157	Weedon	17767157	GRASP1.0		5		Height	Quantitative trait(s);Height	9/2/07	y	Nat Genet	A common variant of HMGA2 is associated with adult and childhood height in the general population.		n	n	4921 EA individuals	29098 EA individuals	Affymetrix [364301]	European	34019	4921	4921												29098	29098																					
17767159	Menzel	17767159	GRASP1.0		101		"Hemoglobin levels, fetal hemoglobin levels in adults (HbF) by F cell levels"	Quantitative trait(s);Blood-related	9/2/07	y	Nat Genet	A QTL influencing F cell production maps to a gene encoding a zinc-finger protein on chromosome 2p15.		n	n	179 EA British samples	90 EA British samples	Illumina [308015]	European	269	179	179												90	90																					
17804789	Raelson	17804789	GRASP1.0		303		Crohn's disease	Inflammation;Gastrointestinal;Crohn's disease	9/11/07	y	Proc Natl Acad Sci U S A	Genome-wide association study for Crohn's disease in the Quebec Founder Population identifies multiple validated disease loci.		n	n	1146 EA samples (from trios)	"750 EA cases + 828 controls, 1563 EA samples (from trios)"	Perlegen [164279]	European	4287	1146	1146												3141	3141																					
17804836	Plenge	17804836	GRASP1.0		527		Rheumatoid arthritis	Inflammation;Arthritis;Rheumatoid arthritis	9/5/07	y	N Engl J Med	TRAF1-C5 as a risk locus for rheumatoid arthritis--a genomewide study.		n	n	1493 EA cases + 1831 controls	"1053 Swedish (mostly EA) cases,1858 controls"	Illumina [297086]	European	6235	3324	3324												2911	2911																					
17827064	van Es	17827064	GRASP1.0		349		Amyotrophic Lateral Sclerosis (ALS)	Neuro;Amyotrophic lateral sclerosis (ALS)	9/7/07	y	Lancet Neurol	ITPR2 as a susceptibility gene in sporadic amyotrophic lateral sclerosis: a genome-wide association study.		n	n	737 EA cases + 721 controls	1030 EA cases + 1195 controls	Illumina [311946]	European	3683	1458	1458												2225	2225																					
17846124	Hayes	17846124	GRASP1.0		194		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/10/07	y	Diabetes	Identification of type 2 diabetes genes in Mexican Americans through genome-wide association studies.		n	n	"281 Mexican American cases,280 Mexican American controls"	"1087 EA samples (from families), 300 Pima Indian cases, 334 Pima Indian controls, 140 Pima Indian related cases, 121 Pima Indian related controls, 124 Amish cases, 295 Amish controls"	Affymetrix [88142]	Mixed	2862	461					461								2401	1506					895																
17846125	Hanson	17846125	GRASP1.0		154		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/10/07	y	Diabetes	A search for variants associated with young-onset type 2 diabetes in American Indians in a 100K genotyping array.		n	n	"300 American Indian cases, 334 controls,121 nondiabetic siblings, 140 diabetic siblings"	"1207 American Indian cases,1627 controls"	Affymetrix [80044]	Native	3729	895						895							2834						2834																
17846126	Rampersaud	17846126	GRASP1.0		228		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/10/07	y	Diabetes	Identification of novel candidate genes for type 2 diabetes from a genome-wide association scan in the Old Order Amish: evidence for replication from diabetes-related quantitative traits and from independent populations.		n	n	"124 Old Order Amish cases,295 controls"	"2142 cases,2117 controls EAs, Mexican Americans, and Pima Indians (and public data from Scandinavian cohort)"	Affymetrix [82485]	Mixed	4678	419	419												4259									4259													
17848626	Florez	17848626	GRASP1.0		738		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/11/07	y	Diabetes	A 100K genome-wide association scan for diabetes and related traits in the Framingham Heart Study: replication and integration with other genome-wide datasets.		n	n	1087 EA samples (from families)	"1465 EA samples, 251 EA samples, 300 Pima Indians cases + 334 controls, 287 Mexican-American cases + 316 controls, 124 EA (Amish) cases + 295 controls, 1464 EA cases + 1467 controls"	Affymetrix [66543]	Mixed	7390	1087	1087												6303	5066				603	634																
17855449	Yanagiya	17855449	GRASP1.0		4		"Obesity, extreme"	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index	9/12/07	n	Hum Mol Genet	Association of single-nucleotide polymorphisms in MTMR9 gene with obesity.		n	n	"93 cases, 649 controls Japanese"	"564 Japanese cases + 562 controls, 394 Japanese cases + 958 controls"	Invader [62663]	Asian	3220	742			742										2478			2478																			
17873874	Stranger	17873874	GRASP1.0		29637	1	Gene expression in blood cell lines	Quantitative trait(s);Gene expression (RNA);Blood-related;Cell line	9/16/07	n	Nat Genet	Population genomics of human gene expression.		n	n	"270 Epstein-Barr transformed B cell lines: 90 CEU cell individuals, 90 YRI, 45 JPT, 45 CHB"	NR	[HapMap] ~2200000	Mixed	270	270	90	90	90																																
17873877	Dixon	17873877	GRASP1.0		21639	1	Gene expression in blood cell lines	Quantitative trait(s);Gene expression (RNA);Blood-related;Cell line	9/16/07	n	Nat Genet	A genome-wide association study of global gene expression.		n	n	378 British EA peripheral blood lymphoblastoid cell lines (asthmatics and unaffected sibs)	NR	Illumina [408273]	European	378	378	378																																		
17903292	Hwang	17903292	GRASP1.0		83		"Kidney function and endocrine traits (urinary albumin, creatinine, cystatin-C, thyroid stimulating hormone), in serum and in urine"	Renal;Quantitative trait(s);Thyroid;Serum;Urinary	9/19/07	y	BMC Med Genet	A genome-wide association for kidney function and endocrine-related traits in the NHLBI's Framingham Heart Study.		n	n	Up to 1010 EA individuals	NR	Affymetrix [70897]	European	1010	1010	1010																																		
17903293	Benjamin	17903293	GRASP1.0		75		"Biomarkers (natriuretic peptides, vitamin K, vitamin D, CD40L, osteoprotegerin, P-selectin, TNFR2, TNFa, liver function, osteocalcin, CRP, IL6, sICAM, MCP1, myelperoxidase), in plasma or serum"	Quantitative trait(s);Hepatic;Platelet;Serum;Plasma;Blood-related;C-reactive protein (CRP)	9/19/07	y	BMC Med Genet	Genome-wide association with select biomarker traits in the Framingham Heart Study.		n	n	1012 EA samples	NR	Affymetrix [70897]	European	1012	1012	1012																																		
17903294	Yang	17903294	GRASP1.0		72		"Blood phenotypes and cell counts (fibrinogen, FVII, PAI1, vWF, tPA, D-dimer, platelet aggregation, viscosity, hemoglobin, red blood cell counts)"	Quantitative trait(s);Blood-related;Platelet;Thrombosis	9/19/07	y	BMC Med Genet	Genome-wide association and linkage analyses of hemostatic factors and hematological phenotypes in the Framingham Heart Study.		n	n	1000 EA samples	NR	Affymetrix [70897]	European	1000	1000	1000																																		
17903295	Lunetta	17903295	GRASP1.0		126		"Longevity and age-related phenotypes (age at menopause, walking speed, biological age)"	Aging;Mortality;Quantitative trait(s);Movement-related	9/19/07	y	BMC Med Genet	Genetic correlates of longevity and selected age-related phenotypes: a genome-wide association study in the Framingham Study.		n	n	1345 EA samples	NR	Affymetrix [70897]	European	1345	1345	1345																																		
17903296	Kiel	17903296	GRASP1.0		98		Bone mass and geometry	Quantitative trait(s);Bone-related;Aging	9/19/07	y	BMC Med Genet	Genome-wide association with bone mass and geometry in the Framingham Heart Study.		n	n	1141 EA samples	NR	Affymetrix [70897]	European	1141	1141	1141																																		
17903297	Seshadri	17903297	GRASP1.0		124		"Brain aging, MRI and cognition phenotypes"	Neuro;Cognition;Aging	9/19/07	y	BMC Med Genet	Genetic correlates of brain aging on MRI and cognitive test measures: a genome-wide association and linkage analysis in the Framingham Study.		n	n	705 EA samples	NR	Affymetrix [70897]	European	705	705	705																																		
17903298	Meigs	17903298	GRASP1.0		50		Type II Diabetes Mellitus	Type 2 diabetes (T2D);CVD risk factor (CVD RF)	9/19/07	y	BMC Med Genet	Genome-wide association with diabetes-related traits in the Framingham Heart Study.		n	n	1087 EA samples	NR	Affymetrix [70897]	European	1087	1087	1087																																		
17903299	Kathiresan	17903299	GRASP1.0		97		Lipid level measurements	CVD risk factor (CVD RF);Lipids	9/19/07	y	BMC Med Genet	A genome-wide association study for blood lipid phenotypes in the Framingham Heart Study.		n	n	1087 EA samples	"1450 EA samples, 6650 (unspecified) individuals"	Affymetrix [70897]	European/Unspecified	9187	1087	1087												8100	1450									6650												
17903300	Fox	17903300	GRASP1.0		93		"Obesity-related traits (body mass index (BMI), waist circumference, weight change, height, adiposity)"	Quantitative trait(s);Weight;CVD risk factor (CVD RF);Body mass index;Height;Adipose-related	9/19/07	y	BMC Med Genet	Genome-wide association to body mass index and waist circumference: the Framingham Heart Study 100K project.		n	n	1341 EA samples	NR	Affymetrix [70897]	European	1341	1341	1341																																		
17903301	Vasan	17903301	GRASP1.0		114		"ECG dimensions, brachial artery endothelial function, treadmill exercise responses"	Quantitative trait(s);Arterial;Heart;Blood pressure;Heart rate;Physical activity;Subclinical CVD	9/19/07	y	BMC Med Genet	"Genome-wide association of echocardiographic dimensions, brachial artery endothelial function and treadmill exercise responses in the Framingham Heart Study."		n	n	1238 EA samples	NR	Affymetrix [70897]	European	1238	1238	1238																																		
17903302	Levy	17903302	GRASP1.0		115		Blood pressure and arterial stiffness	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF);Arterial;Subclinical CVD	9/19/07	y	BMC Med Genet	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.		n	n	Up to 1327 EA individuals	NR	Affymetrix [70897]	European	1327	1327	1327																																		
17903303	O'Donnell	17903303	GRASP1.0		98		"Subclinical atherosclerosis (coronary artery calcium, abdominal artery calcium, ankle-brachial index, carotid intimal media thickness)"	Quantitative trait(s);Cardiovascular disease (CVD);CVD risk factor (CVD RF);Blood-related;Arterial;Calcium;Subclinical CVD	9/19/07	y	BMC Med Genet	Genome-wide association study for subclinical atherosclerosis in major arterial territories in the NHLBI's Framingham Heart Study.		n	n	Up to 984 EA individuals	NR	Affymetrix [70897]	European	984	984	984																																		
17903304	Larson	17903304	GRASP1.0		94		"CVD outcomes (CVD, MI, stroke, CHD death, atrial fibrillation, heart failure)"	Cardiovascular disease (CVD);Myocardial infarction (MI);Mortality;Stroke;Atrial fibrillation;Heart;Heart failure	9/19/07	y	BMC Med Genet	Framingham Heart Study 100K project: genome-wide associations for cardiovascular disease outcomes.		n	n	Up to 1345 EA individuals	NR	Affymetrix [70897]	European	1345	1345	1345																																		
17903305	Murabito	17903305	GRASP1.0		96		Breast cancer and prostate cancer	Cancer;Breast cancer;Prostate cancer;Gender;Male;Female;Reproductive	9/19/07	y	BMC Med Genet	A genome-wide association study of breast and prostate cancer in the NHLBI's Framingham Heart Study.		y	n	1345 EA individuals	NR	Affymetrix [70897]	European	1345	1345	1345																																		
17903306	Newton-Cheh	17903306	GRASP1.0		65		"ECG (Electrocardiogram measurements), QT interval, PR interval, RR interval, Heart rate variability"	Quantitative trait(s);Heart;Heart rate	9/19/07	y	BMC Med Genet	Genome-wide association study of electrocardiographic and heart rate variability traits: the Framingham Heart Study.		n	n	Up to 1375 EA individuals	NR	Affymetrix [70897]	European	1375	1375	1375																																		
17903307	Wilk	17903307	GRASP1.0		68		Lung function phenotypes	Quantitative trait(s);Pulmonary	9/19/07	y	BMC Med Genet	Framingham Heart Study genome-wide association: results for pulmonary function measures.		n	n	Up to 1222 EA individuals	NR	Affymetrix [70897]	European	1222	1222	1222																																		
17903308	Gottlieb	17903308	GRASP1.0		30		Sleep and circadian phenotypes	Neuro;Sleep	9/19/07	y	BMC Med Genet	Genome-wide association of sleep and circadian phenotypes.		n	n	738 EA samples	NR	Affymetrix [70897]	European	738	738	738																																		
17911428	Cervino	17911428	GRASP1.0		7		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	9/15/07	y	Ann N Y Acad Sci	A genome-wide study of lupus: preliminary analysis and data release.		n	n	51 EA cases + 54 controls	NR	Affymetrix [241701]	European	105	105	105																																		
17934461	Broderick	17934461	GRASP1.0		3		Colorectal cancer	Cancer;Colorectal cancer	10/14/07	y	Nat Genet	A genome-wide association study shows that common alleles of SMAD7 influence colorectal cancer risk.		n	n	"940 EA cases, 965 controls"	"7473 EA cases, 5984 controls"	Illumina [547647]	European	15362	1905	1905												13457	13457																					
17952075	Sulem	17952075	GRASP1.0		62		"Hair, eye and skin pigmentation"	Eye-related;Skin-related;Hair	10/21/07	y	Nat Genet	"Genetic determinants of hair, eye and skin pigmentation in Europeans."		n	n	2986 EA individuals	3932 EA individuals	Illumina [317511]	European	6918	2986	2986												3932	3932																					
17975299	Webster	17975299	GRASP1.0		4		Alzheimer's disease	Neuro;Alzheimer's disease	11/1/07	y	Neurodegener Dis	Sorl1 as an Alzheimer's disease predisposition gene?		n	n	664 (unspecified) cases + 422 controls	NR	Affymetrix [~502627]	Unspecified	1086	1086										1086																									
17982456	Plenge	17982456	GRASP1.0		249		"Rheumatoid arthritis, cyclic citrullinated peptide (CCP) positive"	Inflammation;Arthritis;Rheumatoid arthritis	11/4/07	y	Nat Genet	Two independent alleles at 6q23 associated with risk of rheumatoid arthritis.		n	n	"397 (unspecified) cases,1211 EA individuals"	"2283 (unspecified) cases,3258 controls"	Affymetrix [79853]	European/Unspecified	7149	1608	1608												5541										5541												
17982457	Myers	17982457	GRASP1.0		762	1	Gene expression in brain cortex	Quantitative trait(s);Gene expression (RNA);Neuro	11/4/07	n	Nat Genet	A survey of genetic human cortical gene expression.		n	n	193 EA brain samples	NR	Affymetrix [366140]	European	193	193	193																																		
17997608	Li	17997608	GRASP1.0		45		"Uric acid levels, in serum"	Quantitative trait(s);Blood-related;Serum	11/9/07	y	PLoS Genet	The GLUT9 gene is associated with serum uric acid levels in Sardinia and Chianti cohorts.		n	n	4305 Sardinian individuals	1301 Tuscan individuals	Affymetrix [362129]	European	5606	4305	4305												1301	1301																					
17998437	Li	17998437	GRASP1.0		2287		Alzheimer's disease	Neuro;Alzheimer's disease	11/12/07	y	Arch Neurol	Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease.		n	n	"753 EA cases, 736 controls"	"418 EA cases, 249 controls"	Affymetrix [469438]	European	2156	1489	1489												667	667																					
17999355	Stowkowski	17999355	GRASP1.0		133		Skin pigmentation	Skin-related	10/15/07	y	Am J Hum Genet	A genomewide association study of skin pigmentation in a South Asian population.		n	n	737 South Asian/Indian samples	231 South Asian/Indian samples	Perlegen [1502205] (pooled)	Indian/South Asian	968	737				737									231				231																		
18003638	Kato	18003638	GRASP1.0		13		Hypertension	Quantitative trait(s);Blood pressure;CVD risk factor (CVD RF)	11/14/07	n	Hum Mol Genet	High-density association study and nomination of susceptibility genes for		n	n	188 Japanese cases and 752 controls	752 Japanese cases and 752 controls	Invader [80795]	Asian	2444	940			940										1504			1504																			
18057069	Cronin	18057069	GRASP1.0		43		Amyotrophic Lateral Sclerosis (ALS)	Neuro;Amyotrophic lateral sclerosis (ALS)	12/15/07	y	Hum Mol Genet	A genome-wide association study of sporadic ALS in a homogenous Irish population.		n	n	"221 Irish cases,211 controls"	"737 EA cases,721 controls"	Illumina [497917]	European	1890	432	432												1458	1458																					
18058064	Kamatani	18058064	GRASP1.0		4		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	12/6/07	n	J Hum Genet	Identification of a significant association of a single nucleotide polymorphism		n	n	94 Japanese cases and 538 controls	84 Japanese cases and 365 controls	Invader [50464]	Asian	1081	632			632										449			449																			
18067574	Butcher	18067574	GRASP1.0		6		Cognitive ability	Neuro;Cognition	12/7/07	y	Genes Brain Behav	Genome-wide quantitative trait locus association scan of general cognitive ability using pooled DNA and 500K single nucleotide polymorphism microarrays.		n	n	"458 EA low g, 402 high g twin children (unrelated)"	3195 EA twin children (unrelated)	Affymetrix [449127] (pooled)	European	4055	860	860												3195	3195																					
18073375	Duggan	18073375	GRASP1.0		84		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	12/19/07	y	J Natl Cancer Inst	Two genome-wide association studies of aggressive prostate cancer implicate putative prostate tumor suppressor gene DAB2IP.		y	y	1235 Swedish cases + 1599 controls	"1032 EA cases + 571 controls, 210 AA cases + 346 controls"	Affymetrix & Illumina [60275]	Mixed	4993	2834	2834												2159	1603	556																				
18075462	Suzuki	18075462	GRASP1.0		13		Coronary spasm	Cardiovascular disease (CVD);Myocardial infarction (MI);Gender;Female	11/15/07	y	Pharmacogenet Genomics	A novel genetic marker for coronary spasm in women from a genome-wide single nucleotide polymorphism analysis.		y	y	"50 Japanese female cases, 50 Japanese female controls"	"151 Japanese female cases, 160 Japanese female controls"	Affymetrix [97552]	Asian	411	100			100										311			311																			
18084291	van Es	18084291	GRASP1.0		51		Amyotrophic Lateral Sclerosis (ALS)	Neuro;Amyotrophic lateral sclerosis (ALS)	12/16/07	y	Nat Genet	Genetic variation in DPP6 is associated with susceptibility to amyotrophic lateral sclerosis.		n	n	737 EA cases + 721 controls	1030 EA cases + 1195 controls	Illumina [311946]	European	3683	1458	1458												2225	2225																					
18159244	Hinney	18159244	GRASP1.0		43		"Obesity, early onset extreme"	Quantitative trait(s);Weight;Body mass index;CVD risk factor (CVD RF);Developmental	12/26/07	y	PLoS One	Genome wide association (GWA) study for early onset extreme obesity supports the role of fat mass and obesity associated gene (FTO) variants.		n	n	"487 German (unspecified) young cases,442 controls"	2269 German (unspecified)  individuals	Affymetrix [440794]	European	3198	929	929												2269	2269																					
18178869	Kawase	18178869	GRASP1.0		106		Minor histocompatibility antigenicity in blood cell lines	Quantitative trait(s);Blood-related;Cancer-related;Graft-versus-host;Cell line	1/4/08	n	Blood	Identification of human minor histocompatibility antigens based on genetic		n	n	95 Japanese LCL cell lines	NR	Affymetrix [500000] (pooled)	Asian	95	95			95																																
18179892	Wallace	18179892	GRASP1.0		49		"Lipid measurements and other quantitative traits (in serum: sodium, potassium, chloride, urea, creatinine, calcium, albumin, GGT, glucose, urate, total cholesterol, LDL cholesterol, HDL cholesterol, triglycerides; in urine: sodium, potassium, creatinine, albumin)"	Quantitative trait(s);Blood-related;Bone-related;CVD risk factor (CVD RF);Lipids;Hepatic;Renal;Serum;Urinary;Calcium	1/10/08	y	Am J Hum Genet	Genome-wide association study identifies genes for biomarkers of cardiovascular disease: serum urate and dyslipidemia.		n	n	1955 EA hypertensive individuals	2033 EA individuals (from families); 1461 EA samples (from twins)	Affymetrix [400496]	European	5449	1955	1955												3494	3494																					
18179894	Arking	18179894	GRASP1.0		1		Autism	Neuro;Behavioral;Autism	1/10/08	n	Am J Hum Genet	A common genetic variant in the neurexin superfamily member CNTNAP2 increases		n	n	148 unspecified affected offspring and 292 individuals	3885 unspecified samples (from trios)	Affymetrix [336121]	Unspecified	4325	440										440			3885										3885												
18193043	Willer	18193043	GRASP1.0		118		Lipid level measurements	CVD risk factor (CVD RF);Lipids	1/13/08	y	Nat Genet	Newly identified loci that influence lipid concentrations and risk of coronary artery disease.		n	n	8656 EA individuals	11399 EA individuals	Affymetrix & Illumina [~2261000] (imputed)	European	20055	8656	8656												11399	11399																					
18193044	Kathiresan	18193044	GRASP1.0		20		Lipid level measurements	CVD risk factor (CVD RF);Lipids	1/13/08	y	Nat Genet	"Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans."		n	n	2758 EA individuals	"18544 EA individuals, 4259 Asian samples"	Affymetrix [389878]	Mixed	25561	2758	2758												22803	18544		4259																			
18193045	Sanna	18193045	GRASP1.0		74		Height	Quantitative trait(s);Height	1/13/08	y	Nat Genet	Common variants in the GDF5-UQCC region are associated with variation in human height.		n	n	6669 EA individuals	"24606 EA samples, 4195 AA samples"	Affymetrix & Illumina [~2261000] (imputed)	Mixed	35470	6669	6669												28801	24606	4195																				
18193046	Kooner	18193046	GRASP1.0		22		"HDL cholesterol and triglyceride levels, in plasma"	Quantitative trait(s);CVD risk factor (CVD RF);Lipids;Blood-related;Plasma;Gender;Male;Female	1/13/08	y	Nat Genet	Genome-wide scan identifies variation in MLXIPL associated with plasma triglycerides.		y	n	"1005 EA, 1006 Indian Asians"	"1181 Indian Asian women, 2528 Hispanic samples, 6827 EA samples"	Perlegen [up to 216774]	Mixed	12547	2011	1005			1006									10536	6827			1181	2528																	
18193047	Kwan	18193047	GRASP1.0		708	1	Gene expression in blood cell lines	Quantitative trait(s);Gene expression (RNA);Blood-related;Cell line	1/13/08	n	Nat Genet	Genome-wide analysis of transcript isoform variation in humans.		n	n	60 EA Epstein-Barr transformed B cell lines (HapMap CEU)	NR	[HapMap] ~4000000	European	60	60	60																																		
18195134	Byun	18195134	GRASP1.0		48		Response to interferon beta in multiple sclerosis	Drug response;Neuro;Inflammation;Multiple sclerosis (MS)	1/14/08	y	Arch Neurol	Genome-wide pharmacogenomic analysis of the response to interferon beta therapy in multiple sclerosis.		n	n	206 multiple sclerosis southern Europeans cases	NR	Affymetrix [~100000] (pooled)	European	206	206	206																																		
18198356	Hakonarson	18198356	GRASP1.0		27		Type I Diabetes	Type 1 diabetes (T1D);Developmental;CVD risk factor (CVD RF)	1/15/08	y	Diabetes	A novel susceptibility locus for type 1 diabetes on Chr12q13 identified by a genome-wide association study.		n	n	"1401 EA samples (from trios), 561 EA cases,1143 controls"	1170 EA samples (from trios)	Illumina [543071]	European	4275	3105	3105												1170	1170																					
18204098	Hom	18204098	GRASP1.0		61		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	1/20/08	y	N Engl J Med	Association of systemic lupus erythematosus with C8orf13-BLK and ITGAM-ITGAX.		n	n	"1311 EA cases,3340 controls"	"793 Swedish cases,857 controls"	Illumina [502033]	European	6301	4651	4651												1650	1650																					
18204446	SLEGEN	18204446	GRASP1.0		47		"Systemic lupus erythematosus, in women"	Inflammation;Systemic lupus erythematosus (SLE);Gender;Female	1/20/08	y	Nat Genet	"Genome-wide association scan in women with systemic lupus erythematosus identifies susceptibility variants in ITGAM, PXK, KIAA1542 and other loci."		y	y	720 EA female cases + 2337 female controls	1846 EA female cases +1825 EA female controls	Illumina [317501]	European	6728	3057	3057												3671	3671																					
18204447	Kozyrev	18204447	GRASP1.0		11		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	1/20/08	y	Nat Genet	Functional variants in the B-cell gene BANK1 are associated with systemic lupus erythematosus.		n	n	279 EA cases + 515 controls	Up to 1724 (mostly) EA cases + 1616 controls	Affymetrix [85042]	European	4134	794	794												3340	3340																					
18219441	Oishi	18219441	GRASP1.0		42		Systemic lupus erythematosus	Inflammation;Systemic lupus erythematosus (SLE)	1/25/08	n	J Hum Genet	A functional SNP in the NKX2.5-binding site of ITPR3 promoter is associated with 		n	n	94 Japanese cases and 535 controls	84 Japanese cases and 361 controls	Invader [50464]	Asian	1074	629			629										445			445																			
18227835	Berrettini	18227835	GRASP1.0		15		"Nicotine dependence, cigarettes per day"	Neuro;Addiction;Smoking;CVD risk factor (CVD RF)	1/29/08	y	Mol Psychiatry	Alpha-5/alpha-3 nicotinic receptor subunit alleles increase risk for heavy smoking.		n	n	7481 EA individuals	7500 EA individuals	Affymetrix [460959]	European	14981	7481	7481												7500	7500																					
18239089	Kong	18239089	GRASP1.0		3		Recombination rate	Quantitative trait(s);Reproductive;Gender;Male;Female	1/31/08	y	Science	Sequence variants in the RNF212 gene associate with genome-wide recombination rate.		y	n	"1887 Icelandic men, 1702 Icelandic women"	"1248 Icelandic men, 1663 Icelandic women"	Illumina [309241]	European	6500	3589	3589												2911	2911																					
18245381	Uda	18245381	GRASP1.0		151		"Hemoglobin levels, fetal hemoglobin levels in adults (HbF) by F cell levels"	Quantitative trait(s);Blood-related	2/5/08	y	Proc Natl Acad Sci U S A	Genome-wide association study shows BCL11A associated with persistent fetal hemoglobin and amelioration of the phenotype of beta-thalassemia.		n	n	4305 EA individuals	521 EA individuals	Affymetrix [362129]	European	4826	4305	4305												521	521																					
18252221	Kayser	18252221	GRASP1.0		28		Iris color	Eye-related	1/24/08	y	Am J Hum Genet	Three genome-wide association studies and a linkage analysis identify HERC2 as a human iris color gene.		n	n	1406 EA individuals from the Netherlands	8273 EA individuals from the Netherlands	Affymetrix & Illumina [up to ~500000] (pooled)	European	9679	1406	1406												8273	8273																					
18262040	Sandhu	18262040	GRASP1.0		27		Lipid level measurements	CVD risk factor (CVD RF);Lipids	2/9/08	y	Lancet	LDL-cholesterol concentrations: a genome-wide association study.		n	n	11685 EA individuals	5036 EA individuals	Affymetrix & Illumina [up to 461986]	European	16721	11685	11685												5036	5036																					
18264096	Thomas	18264096	GRASP1.0		194		Prostate cancer	Cancer;Prostate cancer;Gender;Male;Reproductive	2/10/08	y	Nat Genet	Multiple loci identified in a genome-wide association study of prostate cancer.		y	y	"1172 EA cases, 1157 controls"	"3941 EA cases,3964 controls"	Illumina [527869]	European	10234	2329	2329												7905	7905																					
